Date,Male,Female,Age0To19,Age20To29,Age30To39,Age40To49,Age50To59,Age60To69,Age70OrMore,TotalNewCases,Recovered,Deaths,TotalConfirmedCases,TotalRecovered,TotalDeaths,ActiveCases
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,0,2,0,0,1,1,0,0,0,2,0,0,2,0,0,2
2020-03-07,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2020-03-08,0,1,0,0,0,0,1,0,0,1,0,0,3,0,0,3
2020-03-09,1,0,0,1,0,0,0,0,0,1,0,0,4,0,0,4
2020-03-10,1,0,0,0,0,0,0,1,0,1,0,0,5,0,0,5
2020-03-11,3,1,0,0,3,1,0,0,0,4,0,0,9,0,0,9
2020-03-12,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
2020-03-13,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
2020-03-14,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
2020-03-15,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
2020-03-16,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
2020-03-17,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
2020-03-18,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
2020-03-19,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
2020-03-20,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
2020-03-21,1,0,0,1,0,0,0,0,0,1,0,0,10,0,0,10
2020-03-22,7,5,5,1,2,1,0,3,0,12,0,0,22,0,0,22
2020-03-23,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,22
2020-03-24,1,5,3,1,0,2,0,0,0,6,0,0,28,0,0,28
2020-03-25,2,0,0,0,2,0,0,0,0,2,0,0,30,0,0,30
2020-03-26,2,1,0,0,3,0,0,0,0,3,0,0,33,0,0,33
2020-03-27,3,1,2,2,0,0,0,0,0,4,3,0,37,3,0,34
2020-03-28,4,4,2,0,3,1,1,1,0,8,0,0,45,3,0,42
2020-03-29,3,0,0,0,2,0,1,0,0,3,0,0,48,3,0,45
2020-03-30,4,5,3,1,4,1,0,0,0,9,0,0,57,3,0,54
2020-03-31,0,0,0,0,0,0,0,0,0,0,0,0,57,3,0,54
2020-04-01,2,4,2,2,1,0,0,0,1,6,0,0,63,3,0,60
2020-04-02,1,1,0,1,1,0,0,0,0,2,0,0,65,3,0,62
2020-04-03,4,5,4,2,1,1,1,0,0,9,12,0,74,15,0,59
2020-04-04,0,0,0,0,0,0,0,0,0,0,0,0,74,15,0,59
2020-04-05,8,10,7,2,3,2,2,1,1,18,0,0,92,15,0,77
