Date,Male,Female,Age0To19,Age20To29,Age30To39,Age40To49,Age50To59,Age60To69,Age70OrMore,TotalNewCases,Recovered,Deaths,TotalConfirmedCases,TotalRecovered,TotalDeaths,ActiveCases
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-13,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
2020-03-14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-03-15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-03-16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-03-17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-03-18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-03-19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-03-20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-03-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-03-22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-03-23,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
2020-03-24,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2020-03-25,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2020-03-26,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2020-03-27,1,0,0,0,1,0,0,0,0,1,0,0,2,1,0,1
2020-03-28,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1
2020-03-29,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1
2020-03-30,2,4,2,0,1,0,1,0,2,6,0,0,8,1,0,7
2020-03-31,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,7
2020-04-01,2,5,3,2,1,0,1,0,0,8,0,0,15,1,0,14
2020-04-02,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,14
2020-04-03,2,1,1,0,2,0,0,0,0,3,0,0,18,1,0,17
2020-04-04,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,17
2020-04-05,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,17
