Date,Male,Female,Age0To19,Age20To29,Age30To39,Age40To49,Age50To59,Age60To69,Age70OrMore,TotalNewCases,Recovered,Deaths,TotalConfirmedCases,TotalRecovered,TotalDeaths,ActiveCases
2020-03-01,2,2,1,1,2,0,0,0,0,4,0,0,4,0,0,4
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4
2020-03-03,0,1,0,0,1,0,0,0,0,1,0,0,5,0,0,5
2020-03-04,3,0,0,1,1,0,0,1,0,3,0,1,8,0,1,7
2020-03-05,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,7
2020-03-06,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,7
2020-03-07,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,7
2020-03-08,2,0,0,0,0,0,2,0,0,2,0,0,10,0,1,9
2020-03-09,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,9
2020-03-10,0,1,1,0,0,0,0,0,0,1,1,0,11,1,1,9
2020-03-11,0,0,0,0,0,0,0,0,0,0,0,0,11,1,1,0
2020-03-12,0,0,0,0,0,0,0,0,0,0,0,0,11,1,1,0
2020-03-13,1,6,2,0,3,0,0,2,0,7,1,0,18,2,1,15
2020-03-14,0,0,0,0,0,0,0,0,0,0,0,0,18,2,1,0
2020-03-15,4,2,2,0,0,2,0,2,0,6,4,0,24,6,1,17
2020-03-16,1,2,1,1,0,1,0,0,0,3,4,0,27,10,1,16
2020-03-17,0,1,0,1,0,0,0,0,0,1,0,0,28,10,1,17
2020-03-18,0,1,1,0,0,0,0,0,0,1,0,0,29,10,1,18
2020-03-19,0,1,0,0,0,0,0,1,0,1,0,0,30,10,1,20
2020-03-20,4,2,0,2,0,3,0,0,1,6,4,0,36,14,1,21
2020-03-21,6,0,1,1,1,2,0,1,0,6,0,0,42,14,1,27
2020-03-22,5,5,3,1,3,1,0,2,0,10,5,0,52,19,1,32
2020-03-23,5,3,0,1,1,1,3,1,1,8,3,1,60,22,2,36
2020-03-24,1,5,2,0,1,2,1,0,0,6,5,0,66,27,2,37
2020-03-25,1,0,0,0,1,0,0,0,0,1,13,0,67,40,2,25
2020-03-26,0,1,0,0,0,0,1,0,0,1,0,0,68,40,2,26
