Date,Erbil,Sulaymani,Duhok,Halabja,Total,Deaths,Recovered,RunningSum,Active
2020-03-01,0,4,0,0,4,0,0,4,4
2020-03-02,0,0,0,0,0,0,0,4,4
2020-03-03,0,1,0,0,1,0,0,5,5
2020-03-04,0,3,0,0,3,1,0,8,7
2020-03-05,0,0,0,0,0,0,0,8,7
2020-03-06,2,0,0,0,2,0,0,10,9
2020-03-07,0,0,0,0,0,0,0,10,7
2020-03-08,1,2,0,0,3,0,0,13,12
2020-03-09,1,0,0,0,1,0,0,14,13
2020-03-10,1,1,0,0,2,0,1,16,14
2020-03-11,4,0,0,0,4,0,0,20,9
2020-03-12,0,0,0,0,0,0,0,20,0
2020-03-13,0,7,0,1,8,0,1,28,16
2020-03-14,0,0,0,0,0,0,0,28,0
2020-03-15,0,6,0,0,6,0,4,34,17
2020-03-16,0,3,0,0,3,0,4,37,16
2020-03-17,0,1,0,0,1,0,0,38,17
2020-03-18,0,1,0,0,1,0,0,39,18
2020-03-19,0,1,1,0,2,0,0,41,21
2020-03-20,0,6,0,0,6,0,4,47,22
2020-03-21,1,6,0,0,7,0,0,54,38
2020-03-22,12,10,0,0,22,0,5,76,55
2020-03-23,0,8,1,0,9,1,4,85,60
2020-03-24,6,6,0,0,12,0,5,97,67
2020-03-25,2,1,0,0,3,0,13,100,57
2020-03-26,3,1,0,0,4,0,0,104,61
2020-03-27,4,0,5,1,10,0,6,114,64
2020-03-28,8,1,2,0,11,0,6,125,69
2020-03-29,3,0,0,0,3,0,0,128,72
2020-03-30,9,19,0,6,34,0,0,162,106
2020-03-31,0,5,3,0,8,0,1,170,113
2020-04-01,6,15,0,8,29,0,0,198,141
2020-04-02,2,0,0,0,2,0,0,200,143
2020-04-03,9,1,0,3,13,0,18,213,138
2020-04-04,0,1,0,0,1,1,0,214,138
2020-04-05,18,3,0,0,21,0,0,235,159
2020-04-06,41,2,0,1,44,0,21,279,182
2020-04-07,5,1,3,0,9,0,25,288,166
2020-04-08,20,0,0,0,20,0,17,309,170
2020-04-09,10,4,0,0,14,0,11,323,173
2020-04-10,0,1,0,0,1,1,0,324,173
2020-04-11,1,4,0,0,5,0,2,329,176
2020-04-12,0,0,0,0,0,0,11,329,165
2020-04-13,0,2,0,0,2,0,34,331,133
2020-04-14,0,1,0,0,1,0,4,332,130
2020-04-15,0,1,0,2,3,0,11,335,122
2020-04-16,0,2,0,0,2,0,18,337,106
2020-04-17,0,0,0,0,0,0,17,337,89
2020-04-18,0,0,0,0,0,0,16,337,73
2020-04-19,0,0,0,0,0,0,10,337,63
2020-04-20,0,0,0,0,0,0,16,337,47
2020-04-21,0,0,0,0,0,0,6,337,41
2020-04-22,0,0,0,0,0,0,16,337,25
2020-04-23,0,1,1,0,2,0,4,339,23
2020-04-24,1,2,2,0,5,0,5,344,23
2020-04-25,0,0,0,0,0,0,1,344,22
2020-04-26,2,0,1,0,3,0,2,347,23
2020-04-27,5,3,0,0,8,0,2,355,29
2020-04-28,11,0,0,0,11,1,2,366,37
2020-04-29,0,1,0,0,1,0,1,367,37
2020-04-30,13,0,0,0,13,0,2,380,48
2020-05-01,1,0,0,0,1,0,0,381,49
2020-05-02,6,0,0,0,6,0,3,387,52
2020-05-03,0,0,0,0,0,0,9,387,43
2020-05-04,0,0,0,0,0,0,4,387,39
2020-05-05,4,0,0,0,4,0,7,391,36
2020-05-06,0,0,0,0,0,0,0,391,36
